page,breakpoint,component,itemIndex,property,expected,beforeActual,afterActual,beforeDiff,afterDiff,status,probableCss
detalhe-anuncio.html,608x926,doke-ad-card/similar,2,box.width,278,572,278,294,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card/similar,2,box.height,262.88,570.47,262.88,307.59,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card/similar,2,media.height,104,178,104,74,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card/similar,2,radius,24,16,24,-8,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,publication-card/relacionada,0,box.width,272,572,272,300,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,publication-card/relacionada,0,box.height,308,330,308,22,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,publication-card/relacionada,1,rel.x,290,293,290,3,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,publication-card/relacionada,1,box.width,272,572,272,300,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,publication-card/relacionada,1,box.height,308,330,308,22,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,publication-card/relacionada,2,rel.x,580,0,580,-580,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,publication-card/relacionada,2,box.width,272,572,272,300,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,publication-card/relacionada,2,box.height,308,330,308,22,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
